athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Marijke GROENEWOUD,1,Beijing 2022,1999.0,"


1

B

",24
Irene SCHOUTEN,2,PyeongChang 2018,1992.0,"


3

G



2

B

",31
Ayano SATO,2,PyeongChang 2018,1996.0,"


1

G



1

S

",27
Francesca LOLLOBRIGIDA,3,Sochi 2014,1991.0,"


1

S



1

B

",32
Valerie MALTAIS,4,Vancouver 2010,1990.0,"


1

G



1

S

",33
Claudia PECHSTEIN,8,Albertville 1992,1972.0,"


5

G



2

S



2

B

",51
Dan GUO,2,Beijing 2008,1990.0,"


1

S

",33
Nana TAKAGI,3,Sochi 2014,1992.0,"


2

G



1

S

",31
Ivanie BLONDIN,3,Sochi 2014,1990.0,"


1

G



1

S

",33
Ted-Jan BLOEMEN,2,PyeongChang 2018,1986.0,"


1

G



1

S

",37
Nils VAN DER POEL,2,PyeongChang 2018,1996.0,"


2

G

",27
